nombre,descripcion,sare,municipio_id
Soldadura,N/A,1,Tenango del Valle
Hojalatería y pintura,N/A,1,Tenango del Valle
Rectificaciones de motores,N/A,1,Tenango del Valle
Alineación y balanceo,N/A,1,Tenango del Valle
Reparación de mofles,N/A,1,Tenango del Valle
Radiadores,N/A,1,Tenango del Valle
Autopartes y accesorios,N/A,1,Tenango del Valle
Lotes de autos,N/A,1,Tenango del Valle
Lavado y engrasado,N/A,1,Tenango del Valle
Auto lavado de vehículos,N/A,1,Tenango del Valle
Frutas y legumbres (centros comerciales),N/A,1,Tenango del Valle
Carnes (centros comerciales),N/A,1,Tenango del Valle
Lácteos (centros comerciales),N/A,1,Tenango del Valle
Productos duraderos (centros comerciales),N/A,1,Tenango del Valle
Abarrotes (centros comerciales),N/A,1,Tenango del Valle
Muebles (centros comerciales),N/A,1,Tenango del Valle
Ropa (centros comerciales),N/A,1,Tenango del Valle
Aparatos electrónicos (centros comerciales),N/A,1,Tenango del Valle
Materiales de construcción (centros comerciales),N/A,1,Tenango del Valle
Maquinaria (centros comerciales),N/A,1,Tenango del Valle
Refrescos (centros comerciales),N/A,1,Tenango del Valle
Estacionamiento (horizontal),N/A,1,Tenango del Valle
Miscelánea con venta de cerveza en botella cerrada,N/A,0,Tenango del Valle
Lonja mercantil con venta de vinos en botella cerrada,N/A,0,Tenango del Valle
Vinatería y minisúper con venta de bebidas alcohólicas en botella cerrada,N/A,0,Tenango del Valle
Abarrotes con venta de cerveza en botella cerrada,N/A,0,Tenango del Valle
"Agencias, depósitos o expendios con venta de vinos en botella cerrada",N/A,0,Tenango del Valle
"Centros comerciales, departamentales y supermercados con venta de bebidas alcohólicas en botella cerrada",N/A,0,Tenango del Valle
