nombre,SARE,descripcion,municipio_id
LEVANTAMIENTO GEOFÍSICO,1,"Dedicada proporcionar el servicio de levantamiento geofísico a fin de  obtener, interpretar, procesar y plasmar en un mapa datos geofísicos ",Toluca
ELABORACIÓN DE MAPAS,1,"Dedicada a proporcionar los servicios de  elaboración de mapas (hidrológicos, de climas,  uso del suelo, turísticos y de carreteras)  ",Toluca
DISEÑO INDUSTRIAL,1,"Dedicada a proporcionar los servicios de  la creación y desarrollo de diseños para optimizar el uso, valor y apariencia de productos, como maquinaria, muebles, automóviles y herramientas ",Toluca
DISEÑO GRÁFICO,1,"Dedicada a proporcionar servicios para planear y diseñar la producción de comunicación visual en mensajes o conceptos específicos, clarificando información compleja o proyectos visuales de identidad ",Toluca
CONSULTORÍA EN COMPUTACIÓN,1,"Dedicada a proporcionar servicios en el campo de las tecnologías de información, a través de actividades como planeación y diseño de sistemas de cómputo que se integran  por hardware y software, así como tecnologías de comunicación",Toluca
CONSULTORÍA EN ADMINISTRACIÓN,1,"Dedicado principalmente a proporcionar los servicios de consultoría en administración general, financiera, organizacional y de recursos humanos ",Toluca
CONSULTORÍA EN MEDIO AMBIENTE,1,"Dedicada a proporcionar los servicios de  consultoría en medio ambiente  como: la  contaminación del medio ambiente, manejo de substancias y materiales peligrosos, calidad del agua, contaminación de asbestos, remediación y legislación para proteger el medio ambiente ",Toluca
CONSULTORÍA CIENTÍFICA Y TÉCNICA,1,"Dedicada a proporcionar los servicios de consultoría científica y técnica en biología, química, economía, sociología, estadística, matemáticas, física, agricultura, desarrollos turísticos, seguridad, comercio exterior, desarrollo industrial y a otros servicios de consultoría científica ",Toluca
AGENCIA DE PUBLICIDAD,1,"Dedicada principalmente a proporcionar servicios de asesoría, diseño y difusión de campañas publicitarias en medios masivos de comunicación como: radio, televisión y medios impresos  Contando en todos los casos con los permisos correspondientes ",Toluca
AGENCIA DE RELACIONES PÚBLICAS,1,"Dedicada a proporcionar el servicio de  diseño e implementación de campañas de relaciones públicas, para promover los intereses y mejorar la imagen de sus clientes  Contando en todos los casos con los permisos correspondientes ",Toluca
ANUNCIOS PUBLICITARIOS ,1,"Dedicada  principalmente a proporcionar el servicio de la renta de espacios publicitarios (en tableros, paneles, vehículos de transporte, en áreas comunes de estaciones de tránsito, en mobiliario urbano) para colocar anuncios publicitarios (como carteles, anuncios pintados, eléctricos y electrónicos)  Contando en todos los casos con los permisos correspondientes ",Toluca
PUBLICIDAD QUE OPERAN POR CORREO DIRECTO ,1,"Dedicada principalmente a proporcionar el servicios de diseño y ejecución de campañas publicitarias, con el propósito de distribuir material publicitario (folletos, volantes, catálogos, cupones) por correo directo u otra distribución directa, contando en todos los casos con los permisos correspondientes ",Toluca
AGENCIA DE PUBLICIDAD QUE OPERAN POR CORREO DIRECTO,1,"Dedicada  principalmente a proporcionar el servicio de la renta de espacios publicitarios (en tableros, paneles, vehículos de transporte, en áreas comunes de estaciones de tránsito, en mobiliario urbano) para colocar anuncios publicitarios (como carteles, anuncios pintados, eléctricos y electrónicos)  Contando en todos los casos con los permisos correspondientes ",Toluca
INVESTIGACIÓN DE MERCADOS Y ENCUESTAS DE OPINIÓN PÚBLICA,1,"Dedicada principalmente a proporcionar el servicio de recolectar y procesar información sobre posibilidades de comercialización, impacto de la publicidad, hábitos de compra, detección de necesidades del mercado, datos de opinión pública ",Toluca
ADMINISTRACIÓN DE NEGOCIOS,1,"Dedicada a proporcionar servicios de apoyo a los negocios (como servicios de administración de negocios, contratación y colocación de personal, preparación de documentos, recepción de llamadas telefónicas, cobranza, organización de viajes, vigilancia y seguridad, limpieza de edificios, empacado y etiquetado de productos) para facilitar las operaciones diarias de éstos ",Toluca
SERVICIOS COMBINADOS DE APOYO EN INSTALACIONES,1,"Dedicada a proporcionar servicio personal para llevar a cabo de manera combinada servicios de mantenimiento como: limpieza, recolección de basura, seguridad y lavandería ",Toluca
AGENCIA DE COLOCACIÓN,1,"Dedicada a proporcionar el servicio de  reclutamiento, selección y colocación de personal ",Toluca
AGENCIA DE EMPLEO TEMPORAL,1,Dedicada a proveer personal propio (contratado con ellas) a otros inmuebles para que temporalmente sustituya o apoye al personal del mismo contratante del servicio  ,Toluca
SUMINISTRO DE PERSONAL PERMANENTE,1,Dedicada a proveer personal propio (contratado con ellas) a otros inmuebles para que trabaje permanentemente,Toluca
RECEPCIÓN DE LLAMADAS TELEFÓNICAS Y PROMOCIÓN POR TELÉFONO,1,Dedicada a la recepción de llamadas telefónicas a nombre de los clientes y a la promoción por teléfono de productos o servicios ,Toluca
AGENCIA DE COBRANZA,1,Dedicada a proporcionar servicios de cobro de deudas en nombre del cliente ,Toluca
DESPACHO DE INVESTIGACIÓN DE SOLVENCIA FINANCIERA,1,Dedicada a proporcionar servicios de investigación y recopilación de información sobre la solvencia financiera de personas o negocios ,Toluca
AGENCIA DE VIAJES,1,"Dedicada a proporcionar servicios de asesoría, planeación y organización de itinerarios de viajes ",Toluca
SERVICIO  DE RESERVACIONES,1,"Dedicada a realizar el servicio de reservaciones en hoteles, restaurantes, líneas de transporte y espectáculos  ",Toluca
ORGANIZADORES DE CONVENCIONES Y FERIAS COMERCIALES E INDUSTRIALES,1,Dedicado a proporcionar los servicios de organización y promoción de convenciones y ferias comerciales e industriales ,Toluca
APOYO A LA EDUCACIÓN,1,"Dedicada a proporcionar servicios de apoyo a la educación de nivel elemental y básico, como servicios didácticos o pedagógicos y de consultoría educativa",Toluca
SERVICIOS GENERALES DE ORIENTACIÓN Y TRABAJO SOCIAL,1,"Dedicada a proporcionar servicios de orientación sobre planificación familiar sin atención médica, atención psicoprofiláctica y servicios de orientación ",Toluca
COMPAÑÍAS DE DANZA,1,Dedicada principalmente a proporcionar servicios de producción y presentación de espectáculos de danza ,Toluca
CANTANTES Y GRUPOS MUSICALES,1,"Compañía representante dedicada  principalmente a proporcionar servicios de  producción y presentación de espectáculos musicales, como sinfónicas, filarmónicas, bandas, orquestas, grupos o solistas que trabajan por cuenta propia como cantantes o músicos  ",Toluca
COMPAÑÍAS Y GRUPOS DE ESPECTÁCULOS ARTÍSTICOS,1,"Dedicada principalmente a proporcionar servicios de producción y presentación de espectáculos circenses, de magia y patinaje ",Toluca
PROMOTORES DE ESPECTÁCULOS ARTÍSTICOS Y DEPORTIVOS,1,Oficina dedicada a proporcionar servicios de la promoción de espectáculos artísticos y deportivos  ,Toluca
AGENTES Y REPRESENTANTES DE ARTISTAS Y DEPORTISTAS,1,"Administradores dedicados a proporcionar servicios de representación que implica,  actividades financieras, de negociación contractual, organización y promoción de la carrera de los representados, ya sean artistas, figuras públicas,  deportivas, y/o entrenadores ",Toluca
ARTISTAS Y TÉCNICOS INDEPENDIENTES,1,"Establecimiento dedicado a proporcionar servicios de creación y producción por cuenta propia, de trabajos artísticos y culturales o a proveer la experiencia técnica necesaria para realizar dichos trabajos, como actores, bailarines, magos, acróbatas, pintores, escultores, caricaturistas, diseñadores de vestuario teatral, camarógrafos, coreógrafos, productores, fotógrafos artísticos y locutores  ",Toluca
ASOCIACIONES Y ORGANIZACIONES,1,Dedicada a proporcionar servicios de  representación y defensa de los intereses de los trabajadores afiliados a ellas ,Toluca
ASOCIACIONES Y ORGANIZACIONES DE PROFESIONISTAS,1,Dedicada a proporcionar servicios de  promoción y representación de los intereses de los profesionistas afiliados a ellas  ,Toluca
OFICINAS COMERCIALES  DE EDICIÓN DE SOFTWARE,1,"Establecimiento dedicado principalmente a la edición de software, como programas informáticos de procesamiento de textos, juegos didácticos, hojas de cálculo ",Toluca
OFICINAS COMERCIALES DE PROCESAMIENTO ELECTRÓNICO DE INFORMACIÓN HOSPEDAJE DE PÁGINAS WEB Y OTROS SERVICIOS RELACIONADOS,1,"Establecimiento dedicado principalmente a proporcionar servicios de procesamiento electrónico de información, como procesamiento de datos ",Toluca
EXPENDIO DE ABARROTES Y/O MISCELÁNEA,1,"Establecimiento dedicado al comercio de abarrotes, como refrescos, galletas y productos enlatados de consumo humano ",Toluca
EXPENDIO DE FRUTAS Y LEGUMBRES FRESCAS,1,Establecimiento dedicado principalmente al comercio de frutas y verduras frescas ,Toluca
EXPENDIO DE HUEVO,1,Establecimiento dedicado principalmente al comercio de huevo de gallina y de otras aves ,Toluca
EXPENDIO DE SEMILLAS Y GRANOS ALIMENTICIOS ESPECIAS Y CHILES SECOS,1,"Establecimiento dedicado principalmente al comercio de semillas y granos alimenticios, frutas secas, chiles secos y especias (clavo, pimienta, azafrán, comino, nuez moscada, canela) ",Toluca
EXPENDIO DE PRODUCTOS LÁCTEOS,1,"Establecimiento dedicado principalmente al comercio de leche envasada en sus diferentes presentaciones y otros productos lácteos, como crema, mantequilla, yogurt  y queso ",Toluca
EXPENDIO DE CARNES FRÍAS Y EMBUTIDOS,1,"Establecimiento  dedicado principalmente al comercio de embutidos, como chorizo, salchicha, longaniza, mortadela,  jamón y queso de puerco  ",Toluca
EXPENDIO DE DULCES Y MATERIAS PRIMAS PARA REPOSTERÍA,1,"Establecimiento dedicado principalmente al comercio de dulces, chocolates, bombones, frutas secas, dulces regionales y materias primas usadas en la elaboración de productos de repostería, como saborizantes, conservadores y esencias  ",Toluca
EXPENDIO DE PAN Y PASTELES,1,Establecimiento dedicado principalmente al comercio de pan y  pasteles ,Toluca
EXPENDIO DE BOTANAS Y FRITURAS,1,"Establecimiento dedicado principalmente al comercio de botanas y frituras, como papas fritas, chicharrones de harina y de cerdo, tostadas, cacahuates, semillas fritas, fruta seca y  palomitas de maíz ",Toluca
EXPENDIO DE CONSERVAS ALIMENTICIAS,1,"Establecimiento dedicado principalmente al comercio de conservas alimenticias, envasado en salmuera, encurtidos, productos alimenticios congelados, en almíbar, en aceite y purés  ",Toluca
DEPÓSITO DE REFRESCOS AGUA EMBOTELLADA Y HIELO,1,"Establecimiento dedicado al comercio de refrescos, jugos envasados, agua embotellada pura o mineralizada y hielo ",Toluca
COMERCIALIZADORA DE FIBRAS HILOS Y TELAS,1,"Establecimiento dedicado al comercio de fibras (naturales, químicas y sintéticas), hilos y telas para la confección de prendas de vestir y la decoración en general  ",Toluca
COMERCIALIZADORA DE BLANCOS,1,"Establecimiento dedicado principalmente al comercio de blancos, como manteles, toallas, sábanas, almohadas, cojines, servilletas, cobertores, colchas, cobijas, carpetas, cortinas terminadas, edredones y fundas para electrodomésticos ",Toluca
COMERCIALIZADORA DE TEXTILES,1,"Establecimiento dedicado principalmente al comercio de etiquetas, banderas, estandartes, cordones, cierres, pasamanería, cuero, pieles, productos tejidos de fibras naturales duras, productos de pelo natural o sintético ",Toluca
COMERCIALIZADORA DE PRENDAS DE VESTIR ROPA,1,Establecimiento dedicado principalmente al comercio de ropa  ,Toluca
