nombre,municipio_id
Dirección de Desarrollo Económico ,Toluca
SUBDIRECCIÓN DE LA UNIDAD DE  VERIFICACIÓN ADMINISTRATIVA,Toluca
DIRECCIÓN DE MEDIO AMBIENTE Y SERVICIOS PUBLICOS,Toluca
"DIRECCIÓN DE ADMINISTRACIÓN URBANA, OBRAS PUBLICAS",Toluca
PROTECCIÓN CIVIL,Toluca
Verificación Administrativa en Comercio Establecido,Toluca
Verificación Administrativa en Espacios Públicos,Toluca
Unidad de Verificación Administrativa,Toluca
