nombre,descripcion,municipio_id,SARE
COMERCIO DE PRODUCTOS Y SERVICIOS BÁSICOS / TORTILLERÍAS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS BÁSICOS / VIDRIERÍAS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS/ALQUILER DE INSTRUMENTOS MUSICALES,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / ALQUILER DE MOBILIARIO,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / ALQUILER DE SERVICIOS Y EQUIPOS PARA FIESTAS INFANTILES,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / ARTESANÍAS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / ARTÍCULOS DE DECORACIÓN,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / ARTÍCULOS DE LIMPIEZA,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / ARTÍCULOS DEPORTIVOS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS /ARTÍCULOS DESECHABLES,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / ARTÍCULOS ELECTRODOMÉSTICOS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / ARTÍCULOS FOTOGRÁFICOS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / ARTÍCULOS MAGNETOFONICOS Y MUSICALES,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS /BLANCOS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / CANCELERÍA,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / CARPINTERÍA,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / CENTROS DE COPIADO,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / CERRAJERÍA,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / CIBER CAFÉS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / COLOCACIÓN DE PISOS FLEXIBLES Y DE MADERA,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS/COMERCIALIZACIÓN DE MERCANCÍAS  AL POR MENOR A TRAVÉS DE INTERNET,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / COMPONENTES ELECTRÓNICOS Y ELÉCTRICOS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / EQUIPO DE CÓMPUTO,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / ESCUELAS DE MANEJO,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / ESTUDIOS FOTOGRÁFICOS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / EXPENDIO DE BILLETES DE SORTEOS Y RIFAS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / FORJA ARTÍSTICA,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS /INSTALACIONES DE SISTEMAS CENTRALES DE AIRE ACONDICIONADO Y CALEFACCIÓN,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / JOYERÍAS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / JUGUETES,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / MATERIAL DIDÁCTICO,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / MATERIALES ELÉCTRICOS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / MUEBLERÍAS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / PERFUMERÍA,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / PLOMERÍA,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / PRODUCTOS DE BELLEZA Y DE ARTE,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / RELOJERÍAS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / RENTA DE ROPA,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS/REPARACIÓN DE CALZADO Y OTROS ARTÍCULOS DE PIEL Y CUERO,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS/REPARACIÓN Y MANTENIMIENTO DE BICICLETAS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / SASTRERÍA,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / SEX SHOPS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / TABAQUERÍA,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / TELAS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / TELEFONÍA,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / TIENDA PARA MASCOTAS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / TIENDAS ESOTÁRICAS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / TIENDAS NATURISTAS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / UNIFORMES,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / VETERINARIAS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / VIDEO JUEGOS,N/A,Metepec,1
COMERCIO DE PRODUCTOS Y SERVICIOS ESPECIALIZADOS / VIVEROS,N/A,Metepec,1
EDUCACIÓN ARTÍSTICA Y DE OFICIOS / FOTOGRAFÍA,N/A,Metepec,1
EDUCACIÓN ARTÍSTICA Y DE OFICIOS / ACTUACIÓN,N/A,Metepec,1
EDUCACIÓN ARTÍSTICA Y DE OFICIOS / ARTES MARCIALES,N/A,Metepec,1
EDUCACIÓN ARTÍSTICA Y DE OFICIOS / BAILE,N/A,Metepec,1
EDUCACIÓN ARTÍSTICA Y DE OFICIOS / DE MODELOS,N/A,Metepec,1
EDUCACIÓN ARTÍSTICA Y DE OFICIOS / ESCUELAS Y ACADEMIAS DE OFICIOS,N/A,Metepec,1
EDUCACIÓN ARTÍSTICA Y DE OFICIOS / ESCULTURA,N/A,Metepec,1
EDUCACIÓN ARTÍSTICA Y DE OFICIOS / IDIOMAS,N/A,Metepec,1
EDUCACIÓN ARTÍSTICA Y DE OFICIOS / MANUALIDADES,N/A,Metepec,1
EDUCACIÓN ARTÍSTICA Y DE OFICIOS / MÚSICA,N/A,Metepec,1
EDUCACIÓN ARTÍSTICA Y DE OFICIOS / PINTURA,N/A,Metepec,1
GIROS DE ALTO IMPACTO,N/A,Metepec,1
OFICINAS / AGENCIA DE PUBLICIDAD,N/A,Metepec,1
OFICINAS / AGENCIA DE VIAJES,N/A,Metepec,1
OFICINAS/AGENCIAS DE RELACIONES  PÚBLICAS,N/A,Metepec,1
OFICINAS / ALQUILER DE AUTOMÓVILES SIN CHOFER.,N/A,Metepec,1
"OFICINAS/ASOCIACIONES, ORGANIZACIONES Y CÁMARAS DE PRODUCTORES, COMERCIANTES Y PRESTADORES DE SERVICIOS",N/A,Metepec,1
OFICINAS/BUFETES JURIDICOS,N/A,Metepec,1
OFICINAS/CORPORATIVOS,N/A,Metepec,1
OFICINAS/DISEÑO Y DECORACIÓN DE INTERIORES,N/A,Metepec,1
OFICINAS/DISEÑO DE MODAS Y OTROS DISEÑOS ESPECIALIZADOS,N/A,Metepec,1
OFICINAS / DISEÑO GRÁFICO.,N/A,Metepec,1
OFICINAS/ DISTRIBUCIÓN DE MATERIAL PUBLICITARIO,N/A,Metepec,1
OFICINAS / ESCRITORIO PÚBLICO,N/A,Metepec,1
OFICINAS / INMOBILIARIA,N/A,Metepec,1
OFICINAS / MENSAJERÍA Y PAQUETERÍA,N/A,Metepec,1
OFICINAS / MUDANZAS,N/A,Metepec,1
OFICINAS / NOTARÍA PÚBLICA,N/A,Metepec,1
OFICINAS / OFICINA O DESPACHO,N/A,Metepec,1
OFICINAS/SERVICIOS DE ARQUITECTURA,N/A,Metepec,1
OFICINAS/ SERVICIOS DE CONSULTORÍA EN ADMINISTRACIÓN,N/A,Metepec,1
OFICINAS/ SERVICIOS DE CONSULTORÍA EN MEDIO AMBIENTE,N/A,Metepec,1
OFICINAS/SERVICIOS DE CONTABILIDAD Y AUDITORIA,N/A,Metepec,1
OFICINAS/SERVICIOS DE INGENIERIA,N/A,Metepec,1
OFICINAS/ SERVICIOS DE LEVANTAMIENTO GEOFISICO,N/A,Metepec,1
OFICINAS/ SERVICIOS DE TRADUCCIÓN E INTERPRETACIÓN,N/A,Metepec,1
REPARACIÓN Y SERVICIO DE VEHÍCULOS Y MAQUINARIA / VULCANIZADORAS,N/A,Metepec,1
SERVICIOS FINANCIEROS / AFIANZADORAS,N/A,Metepec,1
SERVICIOS FINANCIEROS / ASEGURADORAS,N/A,Metepec,1
SERVICIOS FINANCIEROS / CASAS DE BOLSA Y CAJAS POPULARES,N/A,Metepec,1
SERVICIOS FINANCIEROS / CASAS DE CAMBIO,N/A,Metepec,1
SERVICIOS FINANCIEROS / CASAS DE EMPEÑO,N/A,Metepec,1
SERVICIOS FINANCIEROS / SUCURSALES BANCARIAS,N/A,Metepec,1
