nombre,descripcion,municipio_id
Casa de cultura,Lugar destinado a mantener actividades que promueven la cultura,Huixquilucan
Centro comunitario y social,Lugar destinado a la realización de eventos sociales y deportivos,Huixquilucan
Centro de copiado,"Impresión digital y reproducción de documentos blanco/negro y/o color prestación el servicio al mayoreo o menudeo de fotocopiado, fax, engargolado, enjicado, xerografías, plotter, etc.",Huixquilucan
Cerrajería,Servicio de cerrajería en general,Huixquilucan
Ciber cafés,Alquiler de equipo de computo con acceso a la red de internet,Huixquilucan
Clínicas veterinarias,"Venta de animales domésticos, alimento para animales, y accesorios",Huixquilucan
Comercio de bicicletas,"Compra-venta de bicicletas nuevas, usadas y refacciones",Huixquilucan
Comercio de cocinas integrales,Venta de cocinas integrales hechas a la medida y sobre diseño,Huixquilucan
Comercio de enseres eléctricos y línea blanca,Compra-venta de todo tipo de enseres domésticos y línea blanca,Huixquilucan
Comercio de equipo de computo,Compra-venta de equipo de computación y accesorios,Huixquilucan
Comercio de equipo médico y de laboratorio,Compra-venta  de muebles y equipos de laboratorios de análisis clínicos,Huixquilucan
Comercio de equipo de oficina,Compra-venta de equipo de oficina,Huixquilucan
Comercio de forja artística,"Compra venta, fabricación y diseño de muebles, puertas y accesorios de hierro forjado",Huixquilucan
Comercio de madera,Compra-venta de todo tipo de maderas,Huixquilucan
Comercio de materia prima y artículos para fiestas,Compra-venta de materias primas para la elaboración de repostería y artículos para fiestas,Huixquilucan
Comercio de material de audio y video,Compra-venta de material y equipo de audio y sonido,Huixquilucan
Comercio de pañales,Venta de pañales y artículos para bebe,Huixquilucan
Comercio de regalos y novedades,"Compra-venta de artículos de ornato o decoración como artesanías, oleos, juguetes, dulces, chocolates, joyería, arreglos florales",Huixquilucan
Comercio de sombreros y/o gorras,Compra-venta y fabricación de todo tipo de sombreros y gorras,Huixquilucan
Comercio de telefonía celular,"Compra-venta de equipo de telefonía, accesorios y todo lo relacionado con la prestación del servicio",Huixquilucan
Comercio de textiles,Compra-venta de todo tipo de telas para la industria de la decoración y la confección,Huixquilucan
Compañía de limpieza,Prestación de servicios de limpieza y mantenimiento a empresas y domicilios particulares,Huixquilucan
Decoración,"Venta de artículos de decoración de interiores y exteriores (alfombras, persianas, pisos, etc.)",Huixquilucan
Equipos eléctricos y electrodomésticos,"Compra venta de aparatos , refacciones y accesorios",Huixquilucan
