nombre,municipio_id
Dirección General de Desarrollo Urbano,Huixquilucan
Tesorería,Huixquilucan
Organismo Público Descentralizado Sistema Aguas de Huixquilucan,Huixquilucan
Dirección General de Desarrollo Económico,Huixquilucan
Subdirección de Protección Civil,Huixquilucan
Coordinación General de Ecología y Políticas de Medio Ambiente,Huixquilucan
