nombre,descripcion,sare,municipio_id
Taquería,Elaboracion y venta de tacos de res puerco aves mariscos y pescado Sin venta de bebidas alcoholicas,1,Chalco
Telas y similares,Compraventa de telas y casimires y similares Accesorios utilizados para la confeccion de prendas de vestir,1,Chalco
Tienda de juguetes,Compraventa al mayoreo y menudeo de juguetes y juegos infantiles,1,Chalco
Tienda de artículos para campamento,Alquiler y venta de equipo para campamento: casas de campana cocinetas colchonetas navajas suizas brujulas ropa y zapatos acorde a la actividad,1,Chalco
Tienda de discos,Compraventa de discos compactos casetes y fonogramas originales,1,Chalco
Tienda de regalos / novedades,Compraventa de articulos de ornato o decoracion como artesanias oleos arreglos florales juguetes dulces chocolates relojes discos tarjetas y carteras,1,Chalco
Tienda naturista,Venta al publico de complementos alimenticios de origen vegetal y productos naturistas,1,Chalco
Venta de alfombras y persianas,Venta de alfombras persianas cortinas cortijeros papel tapiz y similares Servicio de instalacion y reparacion de articulos relacionados,1,Chalco
Venta y renta de videojuegos,Compraventa y renta de videojuegos equipo y accesorios,1,Chalco
Videoclub,Renta y compraventa de peliculas en video,1,Chalco
Vidriería,Venta de vidrio plano liso labrado espejos y lunas,1,Chalco
Vivero,Cultivo y compraventa de plantas flores y accesorios para la jardineria,1,Chalco
Zapatería,Compraventa de calzado,1,Chalco
Aseguradora,Servicios de Administracion y suscripcion de polizas de seguros,1,Chalco
Arrendamiento de bienes muebles,Servicio de alquiler de mobiliario para oficina y fiestas,1,Chalco
Gimnasio,Prestacion de servicio de acondicionamiento fisico,1,Chalco
Lavandería y tintorería,Servicio de lavado y planchado de ropa Venta de articulos especializados en manchas especificas en la ropa,1,Chalco
Mantenimiento y reparación de aparatos electrodoméstico,Servicio de mantenimiento y reparacion de aparatos electrodomesticos,1,Chalco
Prestación de servicios de limpieza,Servicio de limpieza y mantenimiento de negocios locales y edificios,1,Chalco
Renta de camiones de carga,Renta de camiones de carga locales o foraneos,1,Chalco
Diseño gráfico serigrafía y rótulos,Servicio de impresion diseno grafico serigrafia y rotulacion,1,Chalco
Academias de educación física y artística,Imparticion de clases de manera conjunta o indistinta de artes marciales modelos arte musica baile fotografia actuacion escultura o pintura,1,Chalco
Agencia de publicidad,Servicios de asesoria y/o consultoria para la industria comercio y servicios,1,Chalco
Agencia de seguridad,Prestacion de servicios de vigilancia en negocios locales y edificios gubernamentales y particulares,1,Chalco
Agencia de viajes,Servicios de asesoria guias de viaje organizacion de excursiones venta de boletos y paquetes aereos terrestres y maritimos sean nacionales o internacionales,1,Chalco
Caja de ahorro,Captacion y colocacion de recursos economicos del publico en el mercado nacional a traves de diversos instrumentos como cuentas de ahorro y creditos,1,Chalco
Casa de cambio,Cambio de divisas,1,Chalco
Casa de empeño,Actividades pignoraticias,1,Chalco
Casetas telefónicas,Servicio de telefono y FAX Llamadas locales y largas distancias,1,Chalco
Centro de consulta por internet,Alquiler de equipo de computo con acceso a la red de Internet,1,Chalco
Centro de fotocopiado,Prestacion del servicio al mayoreo o menudeo de fotocopiado fax engargolado enmicado incluye xerograficas heliograficas,1,Chalco
Cerrajería,Servicio de reparacion de chapas y elaboracion de duplicados de llaves,1,Chalco
Consultoría,Prestacion de servicios profesionales en consultoria y asesoria,1,Chalco
Consultorio de especialidades medicas,Consulta medica externa al publico en cualquiera de sus especialidades Consulta homeopatica o alternativa Sin laboratorio,1,Chalco
Contratista,Prestacion de servicios para contratar obras y servicios diversos de la construccion Sin maquinaria en el predio destinado para la oficina,1,Chalco
Escritorio publico,Prestacion de servicios de mecanografia captura y formacion de textos correccion de estilo fotocopiado y fax,1,Chalco
Estacionamiento y pensiones,Prestacion del servicio de guarda o deposito temporal de vehiculos de autoservicio o con acomodadores,1,Chalco
Estética de animales,Servicio de limpieza corte y peinado tratamientos y cuidado de patas plumaje y pelaje,1,Chalco
Financiamiento de autos y casas,Venta de planes de financiamiento para adquirir autos edificaciones y terrenos,1,Chalco
Funeraria o velatorio,Servicio de velacion incluye compraventa de ataudes y asesoria relacionados con la actividad,1,Chalco
Galería / estudio de arte,Exposicion y venta de obras artisticas,1,Chalco
Inmobiliaria,Compraventa alquiler y administracion de bienes inmuebles y servicios relacionados con el sector inmobiliario,1,Chalco
Juegos infantiles,Alquiler de juegos infantiles inflables y mecanicos,1,Chalco
Mensajería paquetería,Servicio de entrega al destinatario de cartas sobres y paquetes,1,Chalco
Notaria publica,Prestacion de servicios para dar fe o garantia de actos judiciales y extra judiciales,1,Chalco
Oficina o despacho,Prestacion de servicios profesionales,1,Chalco
Renta de autobuses de pasajeros,Renta de autobuses de pasajeros locales o foraneos,1,Chalco
Renta de automóviles o motocicletas,Renta de vehiculos automotrices,1,Chalco
Reparación de calzado,Servicio de reparacion de calzado,1,Chalco
Salón de belleza/estética,Servicio de corte y peinado de cabello tratamientos faciales maquillaje tenido de cabello y cuidado de pies y manos,1,Chalco
Salón de fiestas infantiles,Centro para presentacion de eventos infantiles puede contar con juegos infantiles no electromecanicos Incluye la preparacion y venta de alimentos,1,Chalco
Sastrería,Servicios de confeccion y compostura de ropa,1,Chalco
Servicio de alineación y balanceo,Servicio de alineacion y balanceo,1,Chalco
Servicio de reparación de bicicletas,Reparacion y mantenimiento de bicicletas incluye venta de accesorios y refacciones,1,Chalco
Taller de corte y confección,Imparticion de cursos de confeccion de ropa,1,Chalco
Tapicería,Servicio de reparacion de vestiduras de muebles colchones puertas y paredes con telas textiles y plasticas incluye vestiduras de automoviles,1,Chalco
Vulcanizadora,Servicio de reparacion y cambio de llantas,1,Chalco
Abarrotes con venta de bebida alcohólica mayores de 12°,Compraventa al publico de productos comestibles no comestibles de higiene personal y de aseo para el hogar a granel envasados empaquetados etiquetados y con envoltura con venta de bebidas alcoholicas mayores a 12 grados,0,Chalco
Cocina económica con venta de bebida alcohólica mayores de 12°,Venta de comida elaborada para consumo en el local o para llevar con venta de bebidas alcoholicas menor a 12 grados,0,Chalco
Miscelánea con venta de bebida alcohólica mayores de 12°,Compraventa al publico de productos comestibles no comestibles de higiene personal y de aseo para el hogar a granel envasados empaquetados etiquetados y con envoltura con venta de bebidas alcoholicas mayores a 12 grados,0,Chalco
Lonja mercantil con venta de bebida alcohólica mayores de 12°,Compraventa al publico de productos comestibles no comestibles de higiene personal y de aseo para el hogar a granel envasados empaquetados etiquetados y con envoltura con venta de bebidas alcoholicas mayores a 12 grados,0,Chalco
Minisúper con venta de bebida alcohólica mayores de 12°,Compraventa al publico de productos comestibles no comestibles de higiene personal y de aseo para el hogar a granel envasados empaquetados etiquetados y con envoltura derivados de la leche embutidos carnes frias agua purificada productos farmaceuticos que no requieran receta medica condimentos frutas verduras y legumbres con venta de bebidas alcoholicas mayor a 12 grados,0,Chalco
Restaurant bar con venta de alimentos y bebidas alcohólicas mayores 12° en bc y al copeo,Venta y elaboracion de comida por menu con venta de bebidas alcoholicas mayores a 12 grados,0,Chalco
