nombre,ciudad,giro,horario,direccion,latitud,longitud
MAZDA,Metepec,AGENCIA AUTOMOTRIZ,06:00 A 23:00 HORAS DE LUNES A DOMINGO,BENITO JUÁREZ # 1435 NTE. HÍPICO,19.269666,-99.629152
AUTOMOTRIZ TOLLOCAN S.A. DE C.V.,Metepec,AGENCIA AUTOMOTRIZ,06:00 A 23:00 HORAS DE LUNES A DOMINGO,PASEO TOLLOCAN KM. 4.8 SAN JERÓNIMO CHICAHUALCO,19.28651,-99.58746
MONARCA CONSULTORES S.A. DE C.V.,Metepec,CENTRO DE VERIFICACIÓN AUTOMOTRIZ,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. HERIBERTO ENRÍQUEZ #362 FRACC. REAL SAN JAVIER,19.261801,-99.644293
VERIFICENTRO PILARES S.A. DE C.V.,Metepec,CENTRO DE VERIFICACIÓN AUTOMOTRIZ,06:00 A 23:00 HORAS DE LUNES A DOMINGO,27 DE SEPTIEMBRE # 41 SAN JERÓNIMO CHICAHUALCO,19.277811,-99.594266
VERIFICACIÓN AUTOMOTRIZ,Metepec,CENTRO DE VERIFICACIÓN AUTOMOTRIZ,06:00 A 23:00 HORAS DE LUNES A DOMINGO,CARRETERA TOLUCA-TENANGO # 639 LA PURÍSIMA,19.258127,-99.625703
INSTITUTO ONCOLOGICO MEXIQUENSE S.A. DE C.V.,Metepec,CLÍNICA,24:00 HORAS,AV. BAJA VELOCIDAD # 3001 FRANCISCO I. MADERO,19.286273,-99.578527
CLÍNICA UNIDAD DERMATOLOGICA DRES. SOLIS S.C.,Metepec,CLÍNICA,24:00 HORAS,JOSÉFA ORTIZ DE DOMINGUEZ # 318 BARRIO DE SAN MATEO,19.258951,-99.610587
MULTIMÉDICA METEPEC,Metepec,CLÍNICA,24:00 HORAS,JOSÉFA ORTIZ DE DOMÍNGUEZ # 529-202 BARRIO DE SAN MATEO,19.258981,-99.609665
DENTALIA,Metepec,CLÍNICA,24:00 HORAS,"AV. TECNOLÓGICO  ""PLAZA MIA"" # 1600 SAN SALVADOR TIZATLALLI",19.272279,-99.575482
INSTITUTO DE HUMONOLOGíA   CENTRO DE YOGA,Metepec,CLÍNICA,24:00 HORAS,GUADALUPE VICTORIA # 227 FRACC. LOS CEDROS,19.263015,-99.626499
CLÍNICA MÉDICA SAN JUAN,Metepec,CLÍNICA,24:00 HORAS,ARMANDO SOTO MZ-8 L-1 JESÚS JIMÉNEZ GALLARDO,19.259964,-99.633708
723 / VENDOME,Metepec,DISCOTECA,17:00 A 02:00 HORAS DE MIERCOLES A SABADO,AV. LIC. BENITO JUÁREZ GARCIA # 723 NTE. BARRIO DE COAXUSTENCO,19.260177,-99.61932
ESTACIONAMIENTO PLAZA MAYOR,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,AV. LEONA VICARIO # 386 BARRIO DE COAXUSTENCO,19.261349,-99.617601
ADCONINS S.A DE C.V.,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,BOULEVARD TOLUCA METEPEC # 400 GALERÍAS METEPEC,19.257016,-99.621681
PLAZA CITY CENTER,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,BOULEVARD TOLUCA METEPEC # 267 LA MICHOACANA,19.2563584,-99.623689
ESTACIONAMIENTO LOS MOLCAJETES,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,PEDRO ASCENCIO # 8 BARRIO DE SANTA CRUZ,19.255659,-99.594852
ESTACIONAMIENTO PÚBLICO  METEPEC,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,JOSÉFA ORTIZ DE DOMÍNGUEZ # 528 BARRIO DE COAXUSTENCO,19.2589422,-99.6161644
ESTACIONAMIENTOS PUMASA,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,AV. TECNOLÓGICO # 1600 SAN SALVADOR TIZATLALLI,19.2722276,-99.5756134
ESTACIONAMIENTO PLAZA DEL ÁNGEL,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,LEONA VICARIO     PLAZA DEL ÁNGEL #  801 LA PURÍSIMA,19.261525,-99.6252791
GARDUÑO,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,AV. LIC. BENITO JUÁREZ GARCIA # 120 BARRIO DE SANTA CRUZ,19.2686265,-99.6261396
ESTACIONAMIENTO DEL CENTRO,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,IGNACIO ALLENDE # 225 BARRIO DE SANTA CRUZ,19.2538589,-99.6072516
ESTACIONAMIENTO MEGA METEPEC,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,JUAN PABLO II # 601 BARRIO DE COAXUSTENCO,19.259504,-99.618303
ESTACIONAMIENTO,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,PEDRO ASCENCIO # 220 BARRIO DE SANTA CRUZ,19.2551839,-99.6081915
COSTCO DE MÉXICO S.A. DE C.V.,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,AV. S.S. JUAN PABLO SEGUNDO # 501  LTE 22 BARRIO DE SAN MATEO,19.2598126,-99.622257
ESTACIONAMIENTO  PLAZA LAS AMÉRICAS,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,AV. GUADALUPE VICTORIA # 916 LA PURÍSIMA,19.261261,-99.6266773
ESTACIONAMIENTO,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,GUILLERMO PRIETO # 3 BARRIO DEL ESPÍRITU SANTO,19.2508058,-99.6079158
DON NACHO,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,PEDRO ASCENCIO # 1023 BARRIO DE SANTA CRUZ,19.2552545,-99.5983272
JOAQUÍN REYES CAJERO,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,ALTAMIRANO # 143 BARRIO DEL ESPÍRITU SANTO,19.25479,-99.606807
PLAZA IZAR,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,LEONA VICARIO # 936 LA PURÍSIMA,19.2615955,-99.6206339
ESTACIONAMIENTO PLAZA RUBI,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,LEONA VICARIO # 501 BARRIO DE COAXUSTENCO,19.2620529,-99.6088459
RANVER S.A. DE C.V.,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,PASEO SAN ISIDRO # 906 BARRIO DE SANTA CRUZ,19.2529932,-99.593424
"ESTACIONAMIENTO  ""PLAZA SAN JUAN""",Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,VIALIDAD TOLUCA TENANGO # 284 LA PURÍSIMA,19.258339,-99.626132
ESTACIONAMIENTO PLAZA LUNA LA ASUNCIÓN,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,AV. SOLIDARIAD LAS TORRES # 702 FRACC. LA ASUNCIÓN,19.2741745,-99.5760716
URBANISMO TECNIFICADO S.A. DE C.V.,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,MANUEL J. CLOUTHIER # 12 BARRIO DE COAXUSTENCO,19.2787527,-99.5945103
SAN ISIDRO,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,PASEO SAN ISIDRO # 13 BARRIO DE SANTA CRUZ,19.2512777,-99.601113
SANTA CRUZ,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,5 DE MAYO # 259 BARRIO DE SANTA CRUZ,19.2582599,-99.6038401
"""RC""",Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,AV. BENITO JUÁREZ # 6 SAN FRANCISCO COAXUSCO,19.2670097,-99.6258192
DON PEPE,Metepec,ESTACIONAMIENTO PÚBLICO,24:00 HORAS,JOSÉ MARIA MORELOS # 14 CABECERA MUNICIPAL,19.253458,-99.6042006
ENERGETICOS TEC S.A. DE C.V.,Metepec,EXPENDIO DE GASOLINA,24:00 HORAS,AV. TECNOLÓGICO # 1131 (ANT. 625) BELLAVISTA,19.278848,-99.574038
OPERADORA INTERGASOLINERAS S.A. DE C.V.,Metepec,EXPENDIO DE GASOLINA,24:00 HORAS,VICENTE GUERRERO # 419 BARRIO DE COAXUSTENCO,19.276593,-99.623672
GASOGON S.A. DE C.V.,Metepec,EXPENDIO DE GASOLINA,24:00 HORAS,LIBRAMIENTO JOSÉ MARÍA MORELOS # 901-A SAN LORENZO COACALCO,19.236544,-99.597506
ESTACION DE SERVICIO BIDASOA S.A. DE C.V.,Metepec,EXPENDIO DE GASOLINA,24:00 HORAS,LEONA VICARIO ESQ. AV. BENITO JUÁREZ # 351-A SAN FRANCISCO COAXUSCO,19.2613793,-99.6195455
SERVICIO TEIXIDO S.A. DE C.V.,Metepec,EXPENDIO DE GASOLINA,24:00 HORAS,AV. SOLIDARIDAD LAS TORRRES # 1500 SAN JERÓNIMO CHICAHUALCO,19.2751694,-99.6036206
ESTACION DE SERVICIO VARVEL S.A DE C.V.,Metepec,EXPENDIO DE GASOLINA,24:00 HORAS,AVENIDA TECNOLÓGICO # 1357 NTE. SAN SALVADOR TIZATLALLI,19.2701056,-99.5773457
SERVICIO VASA S. A. DE C. V.,Metepec,EXPENDIO DE GASOLINA,24:00 HORAS,MIGUEL HIDALGO # 1046 STA. MA. OCOTITLAN,19.2407679,-99.6177406
GRUPO GAS MOCHOA S.A. DE C.V.,Metepec,EXPENDIO DE GASOLINA,24:00 HORAS,VIA TOLUCA METEPEC # 761 XINANTÉCATL,19.2614578,-99.6307042
SERVICIO MIRUSA,Metepec,EXPENDIO DE GASOLINA,24:00 HORAS,AV. TECNOLÓGICO # 208 Y 216 SUR BELLAVISTA,19.266901,-99.575973
SERVICIO GADAD S.A. DE C.V.,Metepec,EXPENDIO DE GASOLINA,24:00 HORAS,VIALIDAD TOLUCA METEPEC KM 5.5 BARRIO DEL ESPÍRITU SANTO,19.2549393,-99.619756
ESTACION DE SERVICIO LA ASUNCIÓN,Metepec,EXPENDIO DE GASOLINA,24:00 HORAS,PASEO INSTITUTO TECNOLÓGICO S/N SAN SALVADOR TIZATLALLI,19.276312,-99.5747816
SERVITRIANGULO,Metepec,EXPENDIO DE GASOLINA,24:00 HORAS,S.S. JUAN PABLO II NTE. ESQ. LÁZARO CARDENAS # 1610 SAN FRANCISCO COAXUSCO,19.2724739,-99.6305863
HOSPITAL MEDICA SAN ISIDRO,Metepec,HOSPITAL,24:00 HORAS,JOSÉFA ORTIZ DE DOMÍNGUEZ # 472 PTE. BARRIO DE SAN MATEO,19.258973,-99.613256
CENTRO MÉDICO DE TOLUCA S.A. DE C.V.,Metepec,HOSPITAL,24:00 HORAS,AV. BENITO JUÁREZ GARCÍA # 341 NTE. BARRIO DE SAN MATEO,19.2621433,-99.5989735
INMOBILIARIA BARAZAS S.A. DE C.V.,Metepec,HOTEL,24:00 HORAS,"CARRETERA TOLUCA - IXTAPAN KM. 5.6    ""LA MURALLA"" # 567 STA. MA. OCOTITLAN",19.2445672,-99.6046676
OPERADORA PLAZA LANCASTER TOLUCA S.A. DE C.V.,Metepec,HOTEL,24:00 HORAS,PASEO TOLLOCAN ESQ. AV. TECNOLÓGICO # 750 FRANCISCO I. MADERO,19.2814839,-99.5732332
OPERADORA HOTELERA CITY CENTER METEPEC S.A. DE C.V.,Metepec,HOTEL,24:00 HORAS,BOULEVARD TOLUCA METEPEC # 267 LA MICHOACANA,19.2563584,-99.623689
"""REAL DE SAN JAVIER""",Metepec,HOTEL,24:00 HORAS,VIALIDAD TOLUCA METEPEC KM. 4 BARRIO DEL ESPÍRITU SANTO,19.251615,-99.614315
METEPEC PLAZA,Metepec,HOTEL,24:00 HORAS,CARRETERA TOLUCA IXTAPAN # 1 SUR BARRIO DE SANTA CRUZ,19.2513491,-99.6149909
QUINTA DEL REY HOTEL S.A. DE C.V.,Metepec,HOTEL,24:00 HORAS,PASEO TOLLOCAN OTE. KM.5 SAN JERÓNIMO CHICAHUALCO,19.286202,-99.580359
HOTEL PASEO,Metepec,HOTEL,24:00 HORAS,PASEO TOLLOCAN KM. 4.8 SAN JERÓNIMO CHICAHUALCO,19.2859056,-99.5869687
BANCO ACTINVER S.A INST. BANCARIA MULTIPLE GRUPO FINANCIERO ACTINVER,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. LEONA VICARIO # 936 LOC. 3 P.B. LA PURÍSIMA,19.2817638,-99.5897461
BANCOPPEL,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,HDA. LA QUEMADA # 500 BARRIO DE SAN MATEO,19.257279,-99.59819
BANCA MIFEL S.A. INSTITUCION  DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,LEONA VICARIO # 386-10-D 11-C BARRIO DE COAXUSTENCO,19.260943,-99.617483
SANTANDER,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,HERIBERTO ENRÍQUEZ # 1048 EX-RANCHO SAN JAVIER,19.262108,-99.64433
SANTANDER,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. BENITO JUÁREZ # 1039 SAN FRANCISCO COAXUSCO,19.2642703,-99.6292717
SANTANDER,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,5 DE MAYO ESQ. NIÑOS HÉROES S/N BARRIO DEL ESPÍRITU SANTO,19.2558546,-99.6167158
SANTANDER,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,LEONA VICARIO # 916 LA PURÍSIMA,19.2595717,-99.6114802
BANCO SANTANDER MEXICO S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO SANTANDER,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. TECNOLÓGICO    MAGNO PLAZA # 1101 BELLAVISTA,19.266025,-99.577315
SANTANDER,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,IGNACIO COMONFORT # 1312  LTE. 2 LA PROVIDENCIA,19.2651413,-99.590562
BBVA BANCOMER S.A.,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,VIALIDAD A METEPEC # 284 LA PURÍSIMA,19.2606039,-99.6076423
HSBC MEXICO S.A. INST. DE BANCA MULTIPLE GPO. FINANCIERO HSBC,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,VIALIDAD METEPEC 284 L-1 LA PURÍSIMA,19.2606039,-99.6076423
BBVA BANCOMER,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,5 DE MAYO ESQ. AV. GUADALUPE VICTORIA # 226 SAN FRANCISCO COAXUSCO,19.2669947,-99.6226842
HSBC MEXICO S.A.,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. TECNOLÓGICO # 2301 (ANT. 1167) FRANCISCO I. MADERO,19.2823265,-99.5733538
BBVA BANCOMER S.A.,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,MANUEL J. CLOUTHIER # 1726 UNID. HAB. LAS MARINAS,19.2722308,-99.5987374
BBVA BANCOMER S.A.,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. PASEO SAN ISIDRO # 318 LOCAL 2 BARRIO DE SANTIAGUITO,19.2529,-99.5939
BANCA AFIRME,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. HACIENDA LA QUEMADA # 500 BARRIO DE SAN MATEO,19.258315,-99.596954
SCOTIABANK INVERLAT S.A,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. LEONA VICARIO # 729 L-1 LA PURÍSIMA,19.257779,-99.6290325
SCOTIABANK INVERLAT S.A.,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. TECNOLÓGICO # 1326 NTE. SAN SALVADOR TIZATLALLI,19.2661743,-99.5648128
BANCO BANBAJIO,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,LEONA VICARIO # 386-2 BARRIO DE COAXUSTENCO,19.260945,-99.617119
SEGUROS INBURSA S.A. GRUPO FINANCIERO INBURSA,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. TECNOLÓGICO # 1600  L-5A2 SAN SALVADOR TIZATLALLI,19.272582,-99.57886
BBVA BANCOMER,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. GUADALUPE VICTORIA # 916-7 LA PURÍSIMA,19.259473,-99.625239
BBA BANCOMER,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. TECNOLÓGICO # 1600 SAN SALVADOR TIZATLALLI,19.2673228,-99.5841368
BANCO WAL MART,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. LEONA VICARIO   (INT. SAM´S CLUB) # 502 LA PURÍSIMA,19.2576362,-99.6177704
BANCO MERCANTIL DEL NORTE,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,BOULEVARD TOLUCA- IXTAPAN # 126 NTE. L-151 BARRIO DE COAXUSTENCO,19.2619973,-99.6189683
BANCO WAL-MART,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. LEONA VICARIO # 502 LA PURÍSIMA,19.2576362,-99.6177704
BANCO WAL-MART,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. PROLONGACIÓN GOBERNADORES # 308 BARRIO DE COAXUSTENCO,19.2684915,-99.59411
BANREGIO,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. BENITO JUÁREZ # 901 LA PURÍSIMA,19.261135,-99.6178276
BANORTE S.A.,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. S.S. JUAN PABLO II # 1201 NORTE SAN FRANCISCO COAXUSCO,19.2621433,-99.6014625
BANORTE S.A.,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,16 DE SEPTIEMBRE S/N L-2 Y 3 SAN JERÓNIMO CHICAHUALCO,19.2730612,-99.5949823
BANORTE,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,CARRETERA TOLUCA TENANGO # 505 L-242526 EX-RANCHO SAN JAVIER,19.2602929,-99.6285314
GRUPO BANORTE,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. TECNOLÓGICO # 1300 LOC. 2 FRANCISCO I. MADERO,19.2685372,-99.5851654
GRUPO BANORTE,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,BULEVARD TOLUCA IXTAPAN # 126 NTE. LOC. 153 LA PURÍSIMA,19.2574013,-99.6234781
BANORTE,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,PASEO SAN ISIDRO # 400 LOCAL 4 BARRIO DE SANTA CRUZ,19.252814,-99.613156
BANAMEX,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. SOLIDARIDAD LAS TORRES # 109  LOCALES 2 3 Y 4 LA PROVIDENCIA,19.27537,-99.607213
"""BANCO NACIONAL DE MEXICO S.A.""",Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,MANUEL J. CLOUTHIER # 900 SAN JERÓNIMO CHICAHUALCO,19.283044,-99.594372
BANCO NACIONAL DE MÉXICO S.A.,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,BOULEVARD TOLUCA IXTAPAN # 126 L-146 BARRIO DE COAXUSTENCO,19.2404786,-99.5940978
BANCO NACIONAL DE MÉXICO S.A DE C.V.,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. TECNOLÓGICO # 338 NTE. LLANO GRANDE,19.2594448,-99.5768246
BANAMEX,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,VIALIDAD TOLUCA TENANGO # 533 LA PURÍSIMA,19.26068.,-99.62767
CIBANCO S.A.,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. GUADALUPE VICTORIA # 701 LA PURÍSIMA,19.260776,-99.627063
HSBC MEXICO S.A. INST. DE BANCA MULTIPLE GPO. FINANCIERO HSBC,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. BENITO JUÁREZ # 761 SAN FRANCISCO COAXUSCO,19.26683,-99.62622
BANCO NACIONAL DE MEXICO S. A.,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,PINO SUAREZ SUR # 2400 XINANTÉCATL,19.263626,-99.633081
BANCO NACIONAL DE MÉXICO S. A. DE C. V.,Metepec,INSTITUCIÓN BANCARIA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. BENITO JUÁREZ # 216 L-40 AL 44 FRACC. LAS HACIENDAS,19.2675863,-99.6338003
"""VILLA LOS SAUCES S.A. DE C.V.""",Metepec,MOTEL,24:00 HORAS,AV. TECNOLÓGICO # 1249 FRANCISCO I. MADERO,19.285611,-99.573978
REAL DEL SUR,Metepec,MOTEL,24:00 HORAS,PASEO TOLLOCAN # 446 SAN JERÓNIMO CHICAHUALCO,19.2621433,-99.5989735
EL CORTIJO,Metepec,MOTEL,24:00 HORAS,CARRETERA A  METEPEC KM. 2.5 LA MUNICIPAL,19.2621433,-99.5989735
EL RINCÓN DE LA PIZZA,Metepec,PIZZERÍA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. GOBERNADORES # 206 M-25 L-15 INFONAVIT SAN FRANCISCO,19.2657291,-99.5962048
JEQUES PIZZAS,Metepec,PIZZERÍA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. TECNOLÓGICO # 300 LLANO GRANDE,19.257652,-99.5768655
LALOS,Metepec,PIZZERÍA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. METEPEC # 228 IZCALLI CUAUHTÉMOC I,19.2731671,-99.5886248
CALDERONNI PIZZA,Metepec,PIZZERÍA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,VERACRUZ # 275 SAN GASPAR TLAHUELILPAN,19.2475373,-99.5515286
MEGA PIZZAS,Metepec,PIZZERÍA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,5 DE MAYO ESQ. CALZADA METEPEC S/N SAN JERÓNIMO CHICAHUALCO,19.279179,-99.5930928
PIZZAS GOL,Metepec,PIZZERÍA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,5 DE MAYO # 100 BARRIO DEL ESPÍRITU SANTO,19.252527,-99.604237
UNIKA PIZZA,Metepec,PIZZERÍA,06:00 A 23:00 HORAS DE LUNES A DOMINGO,AV. SOLIDARIDAD LAS TORRES 482 SAN SALVADOR TIZATLALLI,19.276481,-99.588005
DUXELLES,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,MANUEL DOBLADO # 60 PILARES,19.285036,-99.597687
BURGER KING,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,BOULEVARD TOLUCA IXTAPAN # 126-501 BARRIO DE COAXUSTENCO,19.2621434,-99.5989735
NUTRI TO GO !,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,PASEO SAN ISIDRO # 400 BARRIO DE SANTA CRUZ,19.253192,-99.60341
SIMPLEMENTE NATURAL M&C S.A. DE C.V.      100 % NATURAL,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,LEONA VICARIO # 501  LOCAL  A BARRIO DE COAXUSTENCO,19.26131,-99.613992
HOP-HING,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,AV. GUADALUPE VICTORIA # 916 L-16 LA PURÍSIMA,19.26199,.-99.620969
KFC,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,BOULEVARD TOLUCA IXTAPAN # 126 L-508 BARRIO DE COAXUSTENCO,19.2621434,-99.5989735
KFC PABELLON METEPEC,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,CARRETERA TOLUCA TENANGO # 505 NTE. EX-RANCHO SAN JAVIER,19.260109,-99.629018
PIZZA HUT LA ASUNCION,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,"AV. SOLIDARIDAD LAS TORRES    "" PLAZA LUNA"" # 702 FRACC. LA ASUNCIÓN",19.277076,-99.574338
KFC LA ASUNCION,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,AV. SOLIDARIDAD LAS TORRES # 702-A FRACC. LA ASUNCIÓN,19.277076,-99.574338
EL FAROLITO,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,GUADALUPE VICTORIA # 227 LOC. 1 AL 4 LA PURÍSIMA,19.2621434,-99.5989735
RESTAURANTE LILLE,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,PLAZUELA DE SAN FRANCISCO # 101 SAN FRANCISCO COAXUSCO,19.2688824,-99.6274981
THE YORKER,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,AV. LEONA VICARIO # 501  LOC. 21 BARRIO DE COAXUSTENCO,19.260546,-99.613316
EL HUERTO,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,GUADALUPE VICTORIA # 916  LOC. 2 LA PURÍSIMA,19.260865,-99.625368
McDONALD'S,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,AV. TECNOLÓGICO # 1342 NTE. FRANCISCO I. MADERO,19.2739221,-99.5855409
MC' DONALDS,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,BOULEVARD TOLUCA METEPEC # 400   LOCAL 345 BARRIO DE COAXUSTENCO,19.2621434,-99.5989735
IHOP RESTAURANT,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,GUADALUPE VICTORIA # 701 LOC. 8 AL 15 LA PURÍSIMA,19.2607671,-99.6272303
EL RINCÓN DEL CHEF,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,HDA. LA QUEMADA # 515 UNID. HAB. SAN JOSÉ LA PILA,19.261093,-99.5867252
RESTAURANTE MI TIERRA,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,PASEO SAN ISIDRO # 402 BARRIO DEL ESPÍRITU SANTO,19.251868,-99.613155
RESTAURANTE LA LEYENDA,Metepec,RESTAURANTE,06:00 A 03:00 DE LUNES A DOMIMGO,AV. SOLIDARIDAD LAS TORRES # 511 LA PROVIDENCIA,19.2757795,-99.6042774
