nombre,giro,horario,direccion,latitud,longitud,ciudad
CRISMAN,PAPELERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,IGNACIO ZARAGOZA SIN NUMERO C.P 56644,19.2734935,-98.833748,Chalco
CALDOS DE GALLINA EL GALLITO,FONDA/COCINA ECONÓMICA,De 06:00 a 24:00 horas de Lunes a Domingo,GUADALUPE VICTORIAESQ. SAN ISIDRO LT. 9,19.2545438,-98.892713,Chalco
CIBER ESPACIO MAYTE,CIBER CAFÉ (CENTRO DE CONSULTA POR INTERNET),De 06:00 a 23:00 horas de Lunes a Domingo,EMILIANO ZAPATA No. 17 C.P. 56644,19.280332,-98.831816,Chalco
TOTALGAMERS,VENTA Y RENTA DE VIDEOJUEGOS,De 06:00 a 23:00 horas de Lunes a Domingo,HIDALGO No. 10 LOCAL 20,19.2607728,-98.898142,Chalco
CALE,ARTÍCULOS DE PLÁSTICO,De 06:00 a 23:00 horas de Lunes a Domingo,BOULEVARD  LOS ALAMOS MZ19  LT8 CASA 4 CONJUNTO URBANO LOS ALAMOS,19.2463242,-98.856393,Chalco
POLLOS GUERRERO,ASADERO DE POLLOS,De 06:00 a 23:00 horas de Lunes a Domingo,SAN SEBASTIAN No. 1 CHALCO C.P. 56600,19.261968,-98.900299,Chalco
ESTETICA RICHAR´S,SALÓN DE BELLEZA/ ESTÉTICA,De 06:00 a 23:00 horas de Lunes a Domingo,GERANIO # 4-a  C.P. 56645,19.2230304,-98.816356,Chalco
COCINA LILIA,FONDA/COCINA ECONÓMICA,De 06:00 a 24:00 horas de Lunes a Domingo,IGNACIO ZARAGOZA # 2 C.P. 56644,19.2735846,-98.834348,Chalco
FASHION DIAMOND,SALÓN DE BELLEZA/ ESTÉTICA,De 06:00 a 23:00 horas de Lunes a Domingo,16 DE SEPTIEMBRE No. 17 ESQ. BRAVO C.P. 56600 CHALCO,19.255506,-98.89723,Chalco
OBRADOR SAN JUAN,CARNICERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,MATAMOROS # 3 C.P. 56600 CHALCO,19.2607323,-98.898872,Chalco
COFEE MANY,CAFETERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,VICENTE GUERRERO # 67   (SLA COMIDA RAPIDA)  C.P.56600 CHALCO,19.2642265,-98.896876,Chalco
COFEE MANY,CAFETERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,VICENTE GUERRERO # 67- F C.P.56600 CHALCO,19.2639328,-98.897037,Chalco
CARNICERIA Y TOCINERIA LA UNION,CARNICERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,EMILIANO ZAPATA No.10 C.P. 56644,19.273453,-98.833163,Chalco
PILLOS,BOUTIQUE / TIENDA DE ROPA,De 06:00 a 23:00 horas de Lunes a Domingo,CUAHTEMOC 22 LOCAL E C.P. 56600 CHALCO,19.2614919,-98.897531,Chalco
JOYERÍA Y RELOJERIA,JOYERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,PORFIRIO DÍAZ  No. 5,19.2616236,-98.8962,Chalco
MISCELANEA KARLY,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,ORIENTE No. 41 MZ. 108 Lt. 6   C.P.56606,19.2845423,-98.910062,Chalco
CARNICERÍA EL ENANO,CARNICERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,JOSEFA ORTÍZ DE DOMÍNGUEZ No. 17-C,19.2749924,-98.832685,Chalco
PAPELERÍA,PAPELERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,AV. HIDALGO No. 10 LOCAL 27,19.2608336,-98.898046,Chalco
TLAPALERÍA LAS TORRES,FERRETERÍA / TLAPALERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,HIDALGO No. 2,19.2516474,-98.90282,Chalco
CARNICERÍA,CARNICERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,JOSEFA ORTÍZ DE DOMÍNGUEZ 17-C,19.2748109,-98.83275,Chalco
PAPELERÍA Y REGALOS,PAPELERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,GERANIO S/N.,19.2244568,-98.816378,Chalco
OPTICA BERE,ÓPTICA,De 06:00 a 23:00 horas de Lunes a Domingo,BLVD. LOS ALAMOS MZ. 1 LT. 1 LOCAL.  2,19.249332,-98.859229,Chalco
CREMERÍA  EL INDOMABLE,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,FRANCISCO I. MADERO No. 2-B,19.2647232,-98.897606,Chalco
HERRERÍA OSORIO,CONTRATISTA,De 06:00 a 23:00 horas de Lunes a Domingo,"SANTO TOMAS MZ. 92, LT. 03",19.279719,-98.900497,Chalco
PAPELERIA VILLALOBOS,PAPELERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,AQUILES SERDAN 32 C.P. 56600,19.2665965,-98.897906,Chalco
ABARROTES LOS 4 HERMANOS,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,5 DE MAYO # 26 C.P. 56641,19.2371468,-98.850629,Chalco
TRADICIONAL MICHOACANA,PALETERÍA Y NEVERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,VICENTE GUERRERO # 1 C.P.56644,19.2699893,-98.839101,Chalco
