nombre,giro,horario,direccion,latitud,longitud,ciudad
EL JAZMIN PURPURA,TIENDA NATURISTA,De 06:00 a 23:00 horas de Lunes a Domingo,"ZARAGOZA # 6, C.P. 56625",19.2277917,-98.926262,Chalco
EL MILAGRO DE SAN CHARBEL MAR,ARTÍCULOS ESOTÉRICOS,De 06:00 a 23:00 horas de Lunes a Domingo,CARRILLO PUERTO # 22 C.P. 56600,19.2647836,-98.899354,Chalco
DULCERIA CULTURAS,DULCERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,TEXCATLIPOCA MZ45 LT1 C.P. 56607,19.2671434,-98.907208,Chalco
TXC,ZAPATERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,MATAMOROS # 10 C.P. 56600,19.2601753,-98.897713,Chalco
king Ball´s,ELECTRÓNICA,De 06:00 a 23:00 horas de Lunes a Domingo,MINA # 14 C.P. 56600,19.2616641,-98.893175,Chalco
king Ball´s,ELECTRÓNICA,De 06:00 a 23:00 horas de Lunes a Domingo,"TIZAPA # 1 esquina porvenir , C.P. 56600",19.2632087,-98.894934,Chalco
LAVANDERÍA  EASY CLEAN,LAVANDERÍA Y TINTORERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,AZTECAS MZ. 39 LT. 04,19.2659281,-98.905309,Chalco
OPTICA KARY,ÓPTICA,De 06:00 a 23:00 horas de Lunes a Domingo,LACANDONES MZ 73 LT 14 C.P. 56607,19.2667991,-98.909804,Chalco
HUARACHES Y CARNITAS,FONDA/COCINA ECONÓMICA,De 06:00 a 24:00 horas de Lunes a Domingo,PORTAL DEL CIELO MZ4 LT44 CASA 48,19.2469268,-98.899784,Chalco
ABARROTES PILI,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,PORTAL DEL SOL MZ. 04 LT. 39 C-1,19.244982,-98.900105,Chalco
COCINA ECONÓMICA LA ESPERANZA,FONDA/COCINA ECONÓMICA,De 06:00 a 24:00 horas de Lunes a Domingo,MATAMOROS No. 21 INTERIOR-D,19.2596891,-98.897123,Chalco
CONSUPAGO,CAJA DE AHORRO,De 06:00 a 23:00 horas de Lunes a Domingo,LAZARO CARDENAS #4 C.P. 56600,19.263548,-98.900148,Chalco
PAPELERIA VAZ,PAPELERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,CARR. MIXQUIC CHALCO 1 CASA 60 MZ 4 LT 24,19.2437766,-98.898303,Chalco
TADEO,FERRETERÍA / TLAPALERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,PORTAL DEL AIRE CASA 17 MZ 9 LT 5,19.2455898,-98.900588,Chalco
PAPELERIA FENIX,PAPELERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,PORTAL DEL AIRE MZ 9 LT 5 CASA 27,19.2454024,-98.900701,Chalco
CAFE INTERNET TERNURA,CIBER CAFÉ (CENTRO DE CONSULTA POR INTERNET),De 06:00 a 23:00 horas de Lunes a Domingo,PASEO DE LA TERNURA MZ 7 LT 90 CASA 17,19.2404238,-98.894484,Chalco
FARMACIA GARCIA,FARMACIA,24 horas del día de Lunes a Domingo,BLVD LOS HEROES CHALCO # 27 INTERIOR 3 MZ 76 LT3,19.2626896,-98.841923,Chalco
,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,SAN MATEO MZ87 LT22 ZN03,19.2788002,-98.894505,Chalco
BOUTIQUE CHALCO,BOUTIQUE / TIENDA DE ROPA,De 06:00 a 23:00 horas de Lunes a Domingo,SAN SEBASTIAN # 7 C.P. 56600,19.2609349,-98.900749,Chalco
LA BURBUJA DE VILLAS,LAVANDERÍA Y TINTORERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,PORTAL DEL AGUA MZ 8 LT 5 CASA 14,19.2467496,-98.902729,Chalco
CORPORACION DE EVENTOS ESPECIALES  MAGIC,ARRENDAMIENTO  DE BIENES MUEBLES,De 06:00 a 23:00 horas de Lunes a Domingo,AQUILES SERDAN # 36 C.P. 56604,19.2680853,-98.896576,Chalco
CONSULTORIO DENTAL,CONSULTORIO DE ESPECIALIDADES MÉDICAS,24 horas del día de Lunes a Domingo,PORTAL DEL AGUA MZ2 LT 2 CASA 1,19.2485678,-98.903705,Chalco
LA COCINITA,FONDA/COCINA ECONÓMICA,De 06:00 a 24:00 horas de Lunes a Domingo,PUERTO VALLARTA # 24,19.2680904,-98.888328,Chalco
PRODUCTOS DE BELLEZA VALENTINA|,PRODUCTOS DE BELLEZA,De 06:00 a 23:00 horas de Lunes a Domingo,MIXTECAS SN MZ102 LT21,19.2672953,-98.905277,Chalco
JAKY,FONDA/COCINA ECONÓMICA,De 06:00 a 24:00 horas de Lunes a Domingo,SAN JORGE MZ 54 LT 10,19.2749519,-98.892724,Chalco
VOLCANES,PAPELERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,CDA. FUJIYAMA #16,19.2493021,-98.904917,Chalco
EL TREBOL,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,PASO DE LOS PUEBLOS SN MANZANA 11 LT 18 CASA197,19.2755418,-98.849522,Chalco
CHOCOLATE MOLINILLO LA CAFETERIA,CAFETERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,CARR. CHALCO SAN MARTIN CUAUTLALPAN S/N,19.2657052,-98.853456,Chalco
EL REY DEL TENIS,ZAPATERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,CAPITAN DE LA ROSA # 2 C.P. 56600,19.2613236,-98.897163,Chalco
EL REY DEL TENIS,ZAPATERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,RIVA PALACIO # 2 A C.P. 56600,19.2617705,-98.897957,Chalco
EL REY DEL TENIS,ZAPATERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,CUAUHTEMOC PTE # 45 C.P. 56600,19.2637758,-98.899816,Chalco
LIAN,DULCERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,TIERRA Y LIBERTAD M8 L14B,19.2781166,-98.886829,Chalco
CIBER SPACE,CIBER CAFÉ (CENTRO DE CONSULTA POR INTERNET),De 06:00 a 23:00 horas de Lunes a Domingo,BUGAMBILIAS MZ 101 LT 14,19.2592434,-98.915265,Chalco
EMMANUEL,CIBER CAFÉ (CENTRO DE CONSULTA POR INTERNET),De 06:00 a 23:00 horas de Lunes a Domingo,PASEO DE LA ESPERANZA MZ7 LT80 CASA 98,19.2404998,-98.894408,Chalco
COCINA ELENA,FONDA/COCINA ECONÓMICA,De 06:00 a 24:00 horas de Lunes a Domingo,TIERRA Y LIBERTAD MZ6 LT 10,19.278942,-98.88751,Chalco
DISTRIBUIDORA,ZAPATERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,REFORMA # 6 C.P. 56600,19.2618667,-98.895803,Chalco
SUPER POLLOS LOS 5 HERMANOS,ASADERO DE POLLOS,De 06:00 a 23:00 horas de Lunes a Domingo,JACARANDAS MZ95 LT05 ZN01,19.2621807,-98.911907,Chalco
TAQUERIA EL TIO LUCAS,TAQUERIA,De 06:00 a 02:00 horas de Lunes a Domingo,PORTAL DEL AGUA MZ8 LT5 CASA 21,19.2481525,-98.902568,Chalco
HELADOS ARTESANALES DON PORFIS,PALETERÍA Y NEVERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,TIERRA Y LIBERTAD #46 C.P. 56600,19.2804358,-98.88692,Chalco
